rr_additive_index,percent_muslim_arda,kosovo_recognition_dummy,belgrad_distance,dem2007,gdppc2007,regnum,ethnic_diversity_alesina,usfdigdp19901999_modified,NATO2007,percent_albanian,socialism,Griffiths,distance1000,percent_muslim25
4,0.45,1,1794,1,40712.801,5,0.1315,0.00606013,1,1.32E-01,0,0,1.794,0.018
8.3,8.55,1,1465,1,34982.102,4,0.1032,0.017751791,2,3.08E-02,0,1,1.465,0.342
11.9,96.93,1,4212,0,977.253,6,0.7962,0.0147541,1,0.00E+00,0,0,4.212,3.8772
2.2,4.62,1,5015,0,6394.29,6,0.769,0.02987547,1,0.00E+00,0,0,5.015,0.1848
13.6,10.5,0,2048,1,1795.27,5,0.4923,0,1,0.00E+00,0,1,2.048,0.42
1.7,86.09,1,4932,0,427.688,6,0.7864,0.036059496,1,0.00E+00,0,0,4.932,3.4435999
7.3,4.56,1,1026,1,36009.602,4,0.1682,0.016204501,2,3.67E-01,0,0,1.026,0.1824
2.1,18.96,1,4771,1,539.667,6,0.6733,0.027788799,1,0.00E+00,0,0,4.771,0.7584
2.8,0,1,4570.068,1,1166.81,11,0.0511,0.029464573,1,0.00E+00,0,0,4.570068,0
13.8,4.23,0,726,1,23431.5,5,0.1576,0.00291619,2,3.41E+00,0,0,0.726,0.1692
0.3,0.33,0,8447,1,6885.94,2,0.2661,0.003378678,1,0.00E+00,0,0,8.447,0.0132
4.5,0,0,10466,1,2288.86,2,0.5122,0.01296903,1,0.00E+00,0,0,10.466,0
6.2,68.71,1,5096,0,304.9,6,0.7389,0.00593075,1,0.00E+00,0,0,5.096,2.7484
0.3,8.24,0,8537,0,1084.65,3,0.6195,0.147371665,1,0.00E+00,1,0,8.537,0.3296
1.8,0,1,8790,0,461.429,2,0.095,0.016666699,1,0.00E+00,0,0,8.79,0
0.9,0.1,1,10275,1,1524.72,2,0.1867,0.02932176,1,0.00E+00,0,0,10.275,0.004
3.8,0.24,1,346,1,11411.6,5,0.1522,0.0122487,2,0.00E+00,0,0,0.346,0.0096
3.7,0,1,3427,1,58009.801,4,0.0798,0.00205075,2,0.00E+00,0,0,3.427,0
15.5,13.68,0,5291,1,863.463,8,0.4182,0.00230511,1,0.00E+00,1,1,5.291,0.5472
16.200001,79.01,0,10176,1,1388.61,10,0.7351,0.029619999,1,0.00E+00,0,1,10.176,3.1604001
18.700001,98.64,0,2817,0,3053.12,7,0.6684,0.001717053,1,0.00E+00,0,1,2.817,3.9456
13.7,97.33,0,2396,0,1313.92,7,0.3689,0,1,0.00E+00,1,1,2.396,3.8932001
0.8,0.67,1,2192,1,51676.801,4,0.1206,0.334250897,1,2.84E-02,0,0,2.192,0.0268
13,19.33,0,1832,1,20783.6,7,0.3436,0.02051409,1,0.00E+00,0,1,1.832,0.7732
6.2,2.45,1,722,1,31263.5,4,0.1145,0.00986123,2,7.95E-01,0,1,0.722,0.098
8.5,31.17,1,4914,0,933.634,6,0.8204,0.006364311,1,0.00E+00,0,0,4.914,1.2468
4,0,0,9185,1,16056.696,2,0.4129,0.092545502,1,0.00E+00,0,0,9.185,0
4.7,0,1,9289,1,37185.301,9,0.0119,0.00830801,1,0.00E+00,0,0,9.289,0
11.9,51.64,0,4472,0,4447.37,5,0.6171,0.075109378,1,2.86E-04,0,0,4.472,2.0656
15.4,93.89,1,1979,0,2599.7,7,0.5926,0.0017141,1,0.00E+00,0,0,1.979,3.7556
7.4,6.94,0,5269,1,564.667,6,0.8588,0.00907412,1,0.00E+00,0,0,5.269,0.2776
8.9,0,0,8127,0,6380.944,9,0.0392,0.226972754,1,0.00E+00,1,0,8.127,0
0.7,0.1,1,8349,1,19218.6,9,0.002,0.00934218,1,0.00E+00,1,0,8.349,0.004
